,Grup,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
25,"Konserve edilmiş veya işlenmiş sebze içerikli ürünler (salça, turşu, zeytin vb. dahil)",3.155745597946069,2.5435439987470776,1.8496509244567694,0.9067488049930628,0.4287786229075108,1.345890404903094,2.7577948102176064,2.75970249603954,2.847245693564293,2.377469733305615
26,Şeker,0.7738808699547794,2.1100783216524865,1.4748651313527983,1.3577493294548937,0.20697483900800062,0.11537447457006245,0.1906753904018732,2.4367312137988595,0.5105197475027357,0.808834753339216
27,"Reçel, marmelat, bal vb. ürünler",6.921218285978181,2.3402553435988738,1.5009872087591303,0.23062082826970087,1.8273596342414766,1.2626302527046107,3.894952761332271,1.3494456719323145,6.695814333724015,1.736347551752282
28,Çikolata ve şekerlemeler,5.182249197424471,3.5754985137303574,2.705301787097514,2.11405234926898,-0.3375327695533503,-0.5254233957905696,2.1396732700550203,0.3537471761263955,5.321898472080533,0.7396352045441978
29,Dondurma,6.849049427819343,0.9923651860971994,0.17980747808452602,0.17507408241261846,-0.83158837642201,-0.23402264228290504,0.5744423516190311,0.6822923953667015,0.4446585250742485,0.5337793215450637
30,"Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, sirke, ketçap, mayonez vb.)",2.9653346323658125,1.8163721925970266,3.193713214881533,0.41294858478790886,-0.1751420818367322,3.072681041050429,2.302052732501969,1.9997946977725167,5.513307217320795,1.6612023554302913
31,Kahve,3.6241946495154442,3.3691927617937267,4.496735909262228,3.966355673858457,2.577129619327456,1.3847801024393869,3.2436381706307804,1.5953300694847794,3.6146020458685424,3.6588412162456896
32,Çay ve bitki çayları,0.39430617076650076,0.3191789527402733,0.8809381580649811,0.20249611596478978,0.43899111552894166,2.83549324793817,6.085037878742283,4.455865978398044,5.999427407744484,3.5655791644655044
33,Toz kakao,7.575784012707842,4.203857311604997,0.5895343517034579,0.2534126081536803,0.6829818187966463,9.322715394001357,5.334345953815145,-1.159345515307053,4.987671213809741,6.837054142203347
34,Su ve maden suyu,3.739386507383813,2.6578678416651735,0.985496860532642,3.3111534909500584,1.2557526363988991,3.953990242904748,3.854732058778332,3.6335810190794016,2.065613413594636,1.562871034884028
35,"Alkolsüz içecekler (meşrubat, ayran vb.)",7.402991893167421,1.3081702501391845,0.6657610143874004,2.3227674721508773,3.9095508303947257,1.6303481237568196,3.3469698512364587,5.836629673828431,2.4563063204232627,2.2767207107238008
36,Meyve ve sebze suları,5.341234764015357,3.516237302977987,1.6710698001147994,2.35700331595714,2.3949990828405765,1.7053969781717804,4.950810035879116,2.6095131150540185,2.7024925707844982,3.667922707378801
37,"Alkollü içecekler (rakı, viski, votka vb.)",-1.1102230246251565e-14,0.0,0.0,0.0,0.0,10.72274605033492,4.827591801891717,0.0,0.0,0.0
38,Şarap,1.7470104633781958,3.8687707840138863,0.0,0.0,0.022433749757877486,0.46102611228362456,1.4165158401675315,1.0666606331045436,0.30911044412544886,0.30985185268612714
39,Bira,0.0,0.0,0.0,0.0,0.0,7.323162007542527,1.7956495696485941,0.0,0.0,0.0
40,Sigaralar,0.0,10.850000000000005,0.0,0.0,0.0,4.929611998452255,6.905528053732923,0.37965628889768954,1.964620634700176,4.730594863285631
41,Erkek giyim,4.278604615449355,5.69573752397774,1.1427980050008335,0.008481219230915826,1.3073200319822176,1.8710297554327626,-4.42934626134387,1.548447138813236,14.063459532068734,0.036387105647206486
42,Kadın giyim,4.890022797879934,7.3349742861406275,0.5491921185313275,-0.33966707713659616,0.7242316757130052,0.8193919406610295,-2.9864670076640287,0.27312275823916377,17.29972626638594,-0.9873530703009947
43,Çocuk giyim,4.051997484144065,6.487482729489447,0.9467156978617108,1.0391543969847872,-0.5253705418302612,-0.9390750467200393,-4.087989366080313,2.546753095922538,4.878768726820781,-4.871206677900414
44,Bebek giyim,2.715466346659956,6.350542758803734,-0.48755272449958476,-1.5487546784014983,-1.297565570590331,-2.900560442250111,-3.4314553548454585,2.2489537928325642,2.2258644072159717,-1.2710889799480207
45,"Diğer giyim eşyaları ve aksesuarları (kravat, kemer, eşarp vb.)",4.1041283727665245,3.827332730941402,1.3817464729876994,0.5138838426926862,0.8128225770817732,1.2713176350416466,-1.0344781182049956,1.8483770966437385,0.013675944794577788,-2.2330958444183926
46,Giyim eşyalarının temizlenmesi ve tadilatı,2.7058428124418388,-4.670403173409355,-6.099112580776045,-0.7558757003553906,-7.865231485051627,-1.0035711336639164,12.680321330123135,10.42654515976318,24.592668249730785,3.1382114344631895
47,Erkek ayakkabısı,5.756736259317963,8.310107855769044,2.462354564015845,0.20668491334798755,0.11023132285883364,-0.012999249133704982,-4.773003321636027,2.3351330490076316,6.602579527145935,0.0006085406488776091
48,Kadın ayakkabısı,4.154768190856717,5.953724665530191,2.1005525929105984,-0.2181965041203049,-0.38184943829946416,-0.4258502816124943,-4.051037436667837,1.5004222094037623,9.184145235387797,-0.0004893757936164089
49,Çocuk ve bebek ayakkabısı,3.259981216950991,6.100950030822516,2.5259987180076715,-1.0264650878264447,-0.5791229843129297,-0.12427921443890488,-5.438520881842679,3.138994836837816,10.575764803532106,0.3591031211969409
50,Ayakkabı bakım ve tamiri,12.140511062219716,3.8481018063225347,-2.1601170463195207,0.8515115915666005,-2.189667410626306,-1.1635462559528853,6.914056621129472,-0.24316718333797782,6.27679692891292,2.2725024765067103
