,Web TÜFE
2024-12-31,85.23767369839584
2025-01-01,86.01744940717685
2025-01-02,86.0742507981453
2025-01-03,86.09270673857374
2025-01-04,86.0877114192671
2025-01-05,86.07560931498615
2025-01-06,86.74396884798914
2025-01-07,86.86772496837348
2025-01-08,86.91163188228546
2025-01-09,87.35877789177414
2025-01-10,87.40132264427375
2025-01-11,87.4476393366144
2025-01-12,87.46521090177073
2025-01-13,87.53222326681734
2025-01-14,87.59114254579042
2025-01-15,87.6933256897473
2025-01-16,87.76095722320795
2025-01-17,87.80179073380866
2025-01-18,87.884848390008
2025-01-19,87.90998113571769
2025-01-20,88.05336918273935
2025-01-21,88.09694870402467
2025-01-22,88.21000765384576
2025-01-23,88.25763403346177
2025-01-24,88.17631337549385
2025-01-25,88.16325594173567
2025-01-26,88.3073269223438
2025-01-27,88.3729208649362
2025-01-28,88.52962206897031
2025-01-29,88.61747175479421
2025-01-30,88.63092981312752
2025-01-31,88.53640657665612
2025-02-01,88.94918618846631
2025-02-02,88.74188367911218
2025-02-03,88.81486498092595
2025-02-04,89.00119524495084
2025-02-05,89.24339991484469
2025-02-06,89.49800879918418
2025-02-07,89.51431377090499
2025-02-08,89.5940525519578
2025-02-09,89.61935793507088
2025-02-10,89.71685370020107
2025-02-11,89.94527842356386
2025-02-12,90.187194089969
2025-02-13,90.33706995106772
2025-02-14,90.3237592787866
2025-02-15,90.41701046570864
2025-02-16,90.4220489545193
2025-02-17,90.45315090944192
2025-02-18,90.7548700510976
2025-02-19,91.05851321216916
2025-02-20,91.27712724967772
2025-02-21,91.50641636772154
2025-02-22,91.58057218209257
2025-02-23,91.69999676574648
2025-02-24,91.7543038163817
2025-02-25,92.09743940531388
2025-02-26,92.18754818448988
2025-02-27,92.18178557789416
2025-02-28,92.1853654827711
2025-03-01,92.58334838185556
2025-03-02,92.59224248864729
2025-03-03,92.57547322815714
2025-03-04,92.84885641795884
2025-03-05,93.13433460861084
2025-03-06,93.18037419044109
2025-03-07,93.15219285721986
2025-03-08,93.17132656426853
2025-03-09,93.17754550448409
2025-03-10,93.1825699442302
2025-03-11,93.37394276337794
2025-03-12,93.4259525098542
2025-03-13,93.39614642906602
2025-03-14,93.35529967286556
2025-03-15,93.29758985638384
2025-03-16,93.33839824662098
2025-03-17,93.43252902171164
2025-03-18,93.62593960400956
2025-03-19,93.75264972864248
2025-03-20,93.81456429024747
2025-03-21,93.76807539122582
2025-03-22,93.62819007994898
2025-03-23,93.6039858035768
2025-03-24,93.66462858510155
2025-03-25,93.86549937143242
2025-03-26,94.04183527448932
2025-03-27,94.054125845683
2025-03-28,94.10655302351624
2025-03-29,94.2706065313912
2025-03-30,94.2706065313912
2025-03-31,94.2706065313912
2025-04-01,94.5031398563609
2025-04-02,94.56564672097832
2025-04-03,94.94109408720064
2025-04-04,94.88596866719166
2025-04-05,95.32572750450562
2025-04-06,95.3060816169133
2025-04-07,95.34738549445292
2025-04-08,95.4260213592246
2025-04-09,95.47623263027096
2025-04-10,95.46157107495618
2025-04-11,95.47666210422116
2025-04-12,95.7097719841381
2025-04-13,95.69828433850164
2025-04-14,95.71057758543014
2025-04-15,95.97355247860597
2025-04-16,95.85866480694956
2025-04-17,95.86947766304448
2025-04-18,95.81118882663522
2025-04-19,95.58272938440722
2025-04-20,95.49891447290206
2025-04-21,95.54654644805916
2025-04-22,95.83098480612328
2025-04-23,95.77941995753932
2025-04-24,95.81985561019908
2025-04-25,95.98478814943272
2025-04-26,96.00453163375832
2025-04-27,96.00354104477935
2025-04-28,96.03951711597637
2025-04-29,96.04193017560974
2025-04-30,96.1411459136834
2025-05-01,96.09083903953892
2025-05-02,96.13702537956176
2025-05-03,96.36877934463368
2025-05-04,96.57633098330832
2025-05-05,96.63872519284104
2025-05-06,96.782619407441
2025-05-07,96.6267056938232
2025-05-08,96.71312075822024
2025-05-09,96.61376540103822
2025-05-10,96.51210533791146
2025-05-11,96.48675909768764
2025-05-12,96.627176106111
2025-05-13,96.7031345370421
2025-05-14,96.8598939899058
2025-05-15,97.05395942905427
2025-05-16,97.10006188896446
2025-05-17,97.02046517145646
2025-05-18,96.97581039860444
2025-05-19,97.00465704824448
2025-05-20,97.22872881131336
2025-05-21,97.2401504109728
2025-05-22,97.4248034980995
2025-05-23,97.2460354027351
2025-05-24,97.19955446886696
2025-05-25,97.14949261692335
2025-05-26,97.19088311714891
2025-05-27,97.3650009191804
2025-05-28,97.40223609889306
2025-05-29,97.5335757944802
2025-05-30,97.41367527861236
2025-05-31,97.43206717941446
2025-06-01,97.59893289385812
2025-06-02,97.77411405123102
2025-06-03,97.8394784702513
2025-06-04,97.89897500825008
2025-06-05,97.88464342970688
2025-06-06,97.88464342970688
2025-06-07,97.88464342970688
2025-06-08,97.88464342970688
2025-06-09,97.6863643254176
2025-06-10,97.88210540823182
2025-06-11,97.8103462974213
2025-06-12,97.9084822252768
2025-06-13,97.93034175843226
2025-06-14,97.96691335254047
2025-06-15,97.99052298114414
2025-06-16,98.00890958207762
2025-06-17,98.22068486467036
2025-06-18,98.20697461013286
2025-06-19,98.47642956882744
2025-06-20,98.49688638728529
2025-06-21,98.5782028867376
2025-06-22,98.50903055424328
2025-06-23,98.58710609752806
2025-06-24,98.61504031638675
2025-06-25,98.55963783361956
2025-06-26,98.47219057243342
2025-06-27,98.49045895601516
2025-06-28,98.41531623578736
2025-06-29,98.38342890832143
2025-06-30,98.57839454844806
2025-07-01,99.03871991830528
2025-07-02,99.51670622090404
2025-07-03,99.60537896540694
2025-07-04,100.01790594562463
2025-07-05,100.09581847431858
2025-07-06,100.1831111667895
2025-07-07,100.21717312122291
2025-07-08,100.28055600358458
2025-07-09,100.41654190246236
2025-07-10,100.46877175223784
2025-07-11,100.46185966547864
2025-07-12,100.28497822858476
2025-07-13,100.30222022488437
2025-07-14,100.3507696355503
2025-07-15,100.4207724160702
2025-07-16,100.46597668790852
2025-07-17,100.65777714930007
2025-07-18,100.66301923909472
2025-07-19,100.56926410236092
