,Madde,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31,2026-02-28
10,Ayakkabı (Kadın için),1.8868812996472695,4.749573891253878,1.7484708266692905,-1.3849347435972215,-0.31638143176841993,-0.4723768708220222,-1.4417023447148014,0.23527387109194553,1.1483964085778897,-1.4068996821377744,-2.734021406675713,1.5211630640682428,-4.07284567760286
11,Ayakkabı (Çocuk için),0.6428307387780663,3.9950516906991584,0.5666247680612191,-0.3830874660595063,-1.0321231789703345,-0.4168045242174623,-3.6694916494332097,1.4391894210745049,2.9884047559317395,0.0831696977983798,2.597300178050821,0.0,
12,Ayakkabı Tamiri (Erkek),12.140511062219694,3.848101806322557,-2.160117046319554,0.8515115915666227,-2.189667410626306,-1.1635462559528853,6.91405662112945,-0.24316718333798892,6.276796928912964,3.6357458496950157,0.0,1.2500000000000844,8.641975308641946
13,Ayran,12.36126711802532,0.30971941509270184,0.0013322366813950381,-0.530537612085169,-0.4140149155914763,0.43277788548903295,5.067008655832428,1.8988986409937514,2.5327414507184454,2.5872328305052594,-0.16200860422411756,2.100819243622798,8.141175341098172
14,Ayran (Servis edilen),-10.948113957767703,-35.326648838411444,2.1991162258356844,-2.3437421002606262,-2.073793624129683,2.598006341320147,2.740728100012646,16.877970639101726,1.6241165386144285,1.7688672233202363,1.5910007916309477,3.9344513124377034,2.8490848596259166
15,Ayva,30.703772555039066,-11.43768189170734,2.6854620999785084,14.997224104899454,-2.4887506809314175,-9.548242165625853,1.455412231105102,1.189136497151777,-3.614661749993464,98.13162600072916,0.7627024100688606,8.512864247895813,11.227599493150077
16,Ayçiçek Yağı,6.4310035032420165,1.5429284071953653,2.349752702198127,3.3861654208705794,1.4864360806150723,4.049275567151045,4.171418980894592,7.572454236888992,2.4711544259571117,0.8631268639188283,0.03980137332957323,1.2563303012985694,0.9090381683332427
17,Ağız ve Diş Bakımı Ürünleri,4.933804787807272,2.595596162059244,1.8066588029920227,2.792742222385236,0.6635684246093065,0.6695883675706948,1.3626393616375188,0.8231705153562308,1.4819738208976752,-0.44539119306470365,1.7279270046702822,2.2659962335072725,1.535677784660372
18,Badana ve Boya Malzemeleri,8.130545671034216,6.542110672754076,0.6617008238621436,2.2331591768806724,0.8507222681930715,1.6825430873664615,1.3528137566468201,0.4081660111359131,1.4350660254648595,-0.4638697889148169,1.4291015481538771,2.4605072277605444,1.9077664817653495
19,Badem İçi,2.9938811291890133,0.8593973552708967,2.4127147101818736,5.961160377119024,1.919134747186968,-1.3316654624162094,2.7341841310961845,3.494654136881814,4.161263250538472,2.3224363001339343,-0.42471325054254105,1.8327351314281204,1.122634389070165
20,Baharat,1.178499535666333,1.4788622088241388,3.823437637893168,1.4035844471005365,0.03795976711773452,2.66843726133974,2.6991366608585476,3.1637821019643964,6.958074243570356,1.3075700339980845,0.07343549746408051,5.551506552586205,2.0216427236529166
21,Baklava,0.04077918687337423,-2.4711786863539698,-1.8281206769408476,-0.646289671475142,-0.03689880733784845,13.456328629079195,-0.06453037711505738,10.819446132863542,1.7951807229463324,-2.2979001199260662,-1.0834208828263359,0.769906013696886,11.772022583865915
22,Bal,7.164289428256154,1.3985008347197736,2.2891969625624897,-0.32707961655550344,2.0736184518404643,2.843674326613077,3.821025365904429,0.9444852587949581,7.5467612329254585,0.01342108439492673,0.2754424016028212,12.117491082718201,-1.8269344036641877
23,Balık,5.675654808719699,-6.917825578269454,6.618120534109262,4.3756576119362345,2.7311905079054677,2.287004112811064,1.2859812315256791,19.140802970690473,5.301628416880155,-4.788934605985928,8.463160890392164,8.515121174508167,-5.1077785288957624
24,Banka ile Para Havale Ücreti,-0.008223554685837797,-0.024672693029914594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03290504260007321,30.89999999999995
25,Battaniye,11.222140375592215,21.278490479114787,1.4295976841454783,2.986431570919379,1.6564904898189292,0.48877514807195155,1.8048476139483016,-0.446566479936783,1.3956837322669502,1.2356553378765733,6.97379859609828,1.3457586941597377,1.3372568330180634
26,Bebek Arabası,0.9824285912288344,1.256366459517766,0.8593785013901512,1.0333739013827836,0.8816660091599315,1.3313417002706718,1.2992702777276488,-0.48278468510616346,3.5663479199843584,-3.122781597177826,4.384392225166578,2.9786345577820006,-0.1891186334961381
27,Bebek Bezi,1.5157807676963841,-1.6863644376518883,1.1253357507863049,1.8261905500351228,1.1701955764319205,1.1687580516708929,0.8657754941860274,-0.00680530145211744,0.9260158714517797,-1.3177460210446523,2.0262608546052885,2.739049548762962,-2.9643035961036404
28,Bebek Pijaması,1.7569275414623942,7.254367061290146,-0.8930022481552058,-2.433744263799187,-0.7819543634755011,-2.529558323342651,-4.981939614284025,2.48971203876327,0.356256931681731,-5.301335120648587,0.13526505739316352,2.017912802091537,0.7895881909522062
