,Mallar,Hizmet
2025-01-31,1.2794497776238356,1.1553293223347567
2025-02-28,2.69126796246743,0.5966094598143621
2025-03-31,2.838776085486355,0.610926692360322
2025-04-30,1.6014414165852495,0.7356539137319552
2025-05-31,0.6857378976363162,0.7031785415661527
2025-06-30,0.405368392278836,0.89193702659184
2025-07-31,1.476504606492242,0.8408774928446642
2025-08-31,1.1837405754571395,0.756796507413804
2025-09-30,1.3181763175895065,1.2939012704044313
2025-10-31,2.641670215473467,0.4478008944971477
2025-11-30,0.6836531770237891,0.4523977381659552
2025-12-31,0.7450103305433625,0.2835841511281475
2026-01-31,2.6456513457590254,2.4490226022743293
2026-02-28,2.1222945451597925,1.0607793113862127
