,Alkollü içecekler ve tütün,Ev eşyası,Eğitim,Eğlence ve kültür,Giyim ve ayakkabı,Gıda ve alkolsüz içecekler,Haberleşme,"Konut,Su,Elektrik,Gaz ve Diğer Yakıtlar",Lokanta ve oteller,Sağlık,Ulaştırma,Çeşitli mal ve hizmetler,Web TÜFE
2025-02-28,0.0005353630630635208,0.3809489916489322,0.1390760822842357,0.07110207942748256,0.3618226245814485,0.7530901553293372,-0.05049221677791606,0.7373655232045755,0.20829653128070252,-0.2396265989690084,0.274262018195363,0.18668995983316122,
2025-03-31,0.3775396952226972,0.247866846753781,0.1551291059589408,0.029714894977905144,0.5318046815890994,1.5828318007955617,-0.06682308617354227,0.35718552534226733,-0.0777014297043152,-0.011125873531306433,0.02442020114034654,0.1728105789656039,
2025-04-30,0.0,0.06692666592289315,0.0003335349166679339,0.020715727885597463,0.0904708504690668,0.29245143552960706,-0.087720126328187,0.7522025831114063,0.32044453087409835,0.0,0.4144595641856932,0.0951856539060147,
2025-05-31,0.0,0.1034772734099369,0.00031955047307597194,0.033712072800474925,-0.0019930025756711408,-0.44497823384922663,-0.006267289284094311,0.5256879133155455,0.27177991623929026,0.0,0.30363863564981547,0.042021402750413175,
2025-06-30,6.553287953915041e-06,0.04163013578388577,0.0024535134286532605,0.005491456436653392,0.03470385869489853,-0.19793170013700281,-0.0069948583236392825,0.4682549502755517,0.2567851786863426,-5.592223879072787e-05,0.35016552267807005,0.05601629291009107,
2025-07-31,0.19950251086488743,0.09975102073068944,0.09088811202503297,0.021386316166176696,0.04664829328498787,0.16061210329250236,0.010687846660046643,0.9123470641748079,0.16574791187598634,0.0002137622391666396,0.44770607622711633,0.035848552817273366,
2025-08-31,0.26049028696986404,0.1087331431356318,-4.885960470045373e-10,0.01859194030343915,-0.29869481757392347,0.5406243870017108,0.06770364299423334,0.35297018973480626,0.3136759955019749,-0.00018816069283316222,0.4148009033672537,0.053787674816366586,
2025-09-30,0.014740455296160089,0.07630855047397532,0.5429722406789281,0.018340141174023612,0.10619918927770919,0.9446017910865585,0.07959872291105674,0.4375628324826535,0.156672645352197,0.0018519434636662005,0.1793331610498016,0.10464588781497598,
2025-10-31,0.07318288325929438,0.09010039819217507,0.0070710913037518525,0.020836322268197337,0.8574115814792033,1.2073498716079551,0.0004389155115229066,0.35482625921436445,0.11066614089782191,0.0010086607121058393,0.25541751848599,0.11697391849980514,
2025-11-30,0.1369248776026002,-0.006298519949720917,0.0,-0.004527015626007455,-0.08001028770289151,0.31255832374313747,0.046924106747398456,0.30888665137841526,0.08093491399457008,-0.00011051994208564917,0.23798120775971793,-0.0020412912431556495,
2025-12-31,-4.168886380923423e-05,0.1078805978597835,0.0,0.04064808768046143,0.047596136040472636,0.4522103154507783,0.11758442026788243,0.2504505865312576,0.10379803898494153,0.05168193682660638,-0.12976812102596613,0.06613316059655752,
2026-01-31,0.07524645663863128,0.325969875970681,0.09952928517975358,0.17608743842315164,0.16028520779442373,1.6537702360262363,0.1272406120076389,0.7396969039569113,0.4054909356592038,0.32331356252452315,0.8062350460580766,0.20333301058712136,
2026-02-28,0.008117395969635342,0.1164108032891555,0.03910396829697647,0.04609646093388115,-0.216965676041478,1.7090390143171492,0.10546249389032829,0.4446401216765157,0.15112653826105385,0.027578732248460983,0.37668943400457133,0.12533770248414963,
