,Alkollü içecekler ve tütün,Ev eşyası,Eğitim,Eğlence ve kültür,Giyim ve ayakkabı,Gıda ve alkolsüz içecekler,Haberleşme,"Konut,Su,Elektrik,Gaz ve Diğer Yakıtlar",Lokanta ve oteller,Sağlık,Ulaştırma,Çeşitli mal ve hizmetler,Web TÜFE
2025-01-22,101.1352851274022,102.44011400999194,105.42074720736878,101.16719360186524,100.31933370942804,102.63840347106824,99.9266145209475,105.3909996480973,103.02183031830434,143.73144654254463,103.6052387383423,101.2188223915574,103.48711294722472
2025-01-23,101.1352851274022,102.638809591039,105.25457381489456,101.34965390172094,100.2872072425888,102.72898639655372,99.92624836872604,105.4632953935508,103.0246694603966,143.73144654254463,103.63785796460564,101.2324471387262,103.54298774712193
2025-01-24,101.1352851274022,102.88160494195232,105.4571328919378,101.28736773133204,100.18887088528118,102.27712069526366,99.94789907923484,105.5345857669552,102.98807519080236,143.73144654254463,103.67842665977344,101.2910340055437,103.44758315143145
2025-01-25,101.1352851274022,103.13448719690751,105.78654198661994,101.3146195649958,100.18507550242478,102.09018749663056,99.94225404273575,105.60413135388627,102.79576900929555,143.73144654254463,103.78073479800224,101.32359618081716,103.43226429863832
2025-01-26,101.1352851274022,103.31423880535849,105.81048976376836,101.47031502794752,100.27275006928116,102.41374743591729,99.94756145260216,105.6721569265672,103.18759061782816,143.73144654254463,103.81210076593082,101.397243102011,103.6012869553545
2025-01-27,101.1352851274022,103.51065309252088,105.7634568057958,101.57595845849644,100.46204400181988,102.5077979149198,99.96199057790643,105.74596436613176,103.18897153309923,143.73144654254463,103.82572567942978,101.50085197765274,103.67824112332548
2025-01-28,101.1352851274022,103.98628631069288,106.034109461559,101.80400118343766,101.19643487347096,102.64875121307104,99.92808843891773,105.81938429137055,103.32911907899032,143.73144654254463,103.85103528134508,101.76179888538888,103.86208143387704
2025-01-29,101.1352851274022,103.79271063744258,105.80222052398813,101.85587976382482,101.04644624368424,103.1259742366303,99.88560881692123,105.88696937971892,103.4623937428688,143.73144654254463,103.66432342444506,101.8894321169664,103.96514582079917
2025-01-30,101.1352851274022,103.81548031447,106.55633646143336,101.92884877970204,101.05916916217714,103.13717750181516,99.87371646412925,105.95350516319375,103.16542998228503,143.73144654254463,103.67980156239122,102.02277558549294,103.98093468240153
2025-01-31,101.1352851274022,103.88786250182925,106.22195641209557,102.03482607750249,101.15167751011288,102.69804309669424,99.88491481908515,106.00691079338436,103.41774404342353,143.73144654254463,103.45414402254808,102.13464069842588,103.870040951531
2025-02-01,101.1352851274022,104.16583082989052,106.47503530188206,102.23973191217698,101.46146703088158,103.27171342557904,99.9482433816768,107.45381656596264,103.23787598606376,143.73144654254463,103.66973063709708,102.60427324880833,104.35430993014104
2025-02-02,101.1486604516798,104.3598393080679,106.58763700731978,102.35412240166188,101.60958479187596,103.34624981878162,99.9835999619306,107.45400167240112,103.49203813241527,122.43862830406644,103.65693524268129,102.79909627137732,104.11110466613104
2025-02-03,101.1486604516798,104.56112094452932,106.48732763103544,102.4868416263489,101.91788655921938,103.45116490262048,99.97664982418384,107.49803851677356,103.49125383520092,122.43862830406644,103.65059462846624,103.03314665573392,104.19672561124511
2025-02-04,101.1486604516798,105.04223121674798,106.60376622899742,102.79104005273534,102.2623594901759,103.47807702793556,99.90811283438698,108.14770449738658,103.4217235244916,122.43862830406644,103.82507611415242,103.47722468479076,104.41532644341255
2025-02-05,101.1486604516798,105.28068597137772,106.75096700554464,103.00381700572488,102.23933811898246,104.01177588261326,99.85963911314884,108.4310017554502,104.054438086113,122.43862830406644,103.83239203609556,103.7035712328644,104.69947857871232
2025-02-06,101.1486604516798,105.61266715787085,106.85728575773145,103.07417974066205,102.31017205611047,104.71927925623216,99.83399616403015,108.47598024381128,103.87841711888905,122.43862830406644,104.30685766955368,103.92526900882312,104.99818321633585
2025-02-07,101.1486604516798,105.9081882430276,107.31694577608891,103.0858601681986,102.4220685770521,104.41408680518836,99.77414027785274,108.4651648345192,104.5671777926607,122.43862830406644,104.29975661974872,104.0890173574453,105.0173120487093
2025-02-08,101.1486604516798,106.17224435580222,107.28865054364115,103.3374638498908,102.6050854738677,104.3422732760182,99.84118737681796,108.52135470410572,105.07421882208712,122.43862830406644,104.32599500444644,104.45327431500748,105.11086080196944
2025-02-09,101.1486604516798,106.27093709638152,107.60333029312048,103.69263342673752,102.7006419931953,104.35625342277862,99.85549020800693,108.52094077440374,104.8973618148194,122.43862830406644,104.34182219399815,104.68408567056603,105.1405488284196
2025-02-10,101.1486604516798,106.47396292321665,107.64333945564093,103.9766631526907,103.3630147116223,104.37506425859056,99.85931142870142,108.59010319862314,105.06046811329357,122.43862830406644,104.34007837697276,104.88751359981612,105.25492990066138
2025-02-11,101.1486604516798,107.15540179340334,107.7678852697243,104.36550951958056,104.11341235210344,104.64524655240848,99.8586073882061,108.80740478769756,105.0421835172366,122.43862830406644,104.3539549165597,105.70800098576706,105.52291553829276
2025-02-12,101.1486604516798,107.4806261788443,108.38659499016696,104.4712469445386,104.40780484955285,105.13694416372292,99.68782689368028,108.88467109317487,105.65190630213723,122.43862830406644,104.43604286581808,105.94434277917328,105.80672861754354
2025-02-13,101.1486604516798,108.0714350749161,108.57192246337355,104.68790402876304,104.42130451062565,105.28597700192483,99.68549394791636,108.99650571193976,106.2403618177772,122.43862830406644,104.44247390498592,106.09516806147084,105.98256150292828
2025-02-14,101.1486604516798,108.07524448432834,107.59103171676152,104.68759408255656,104.42141627623624,105.28526583942146,99.68549394791636,108.99518545383,106.30786958716658,122.43862830406644,104.44768349317552,106.0971146762764,105.96694555319198
2025-02-15,101.1486604516798,108.07524448432834,109.73410992093363,104.68759408255656,104.42141627623624,105.39363463524478,97.47472817915175,109.5447442973172,106.62650702879328,122.43862830406644,104.44958386027731,106.0971146762764,106.07634692804886
2025-02-16,101.1486604516798,108.07524448432834,109.73410992093363,104.68759408255656,104.42141627623624,105.41460788822648,97.47472817915175,109.5447442973172,106.62650702879328,122.43862830406644,104.44958386027731,106.0971146762764,106.08225803354016
2025-02-17,101.1486604516798,108.06479711819443,110.67960123037471,104.68777023386856,104.4257523574293,105.53808262874536,97.47472817915175,109.68698532734386,106.08977274691976,122.43862830406644,104.47713700815156,106.13295834644072,106.11874654099604
2025-02-18,101.1486604516798,108.6006785429836,111.64599393735088,104.87388952922386,106.1007998369091,105.93150492883638,97.46084082776332,109.90602913348414,105.47621347777928,122.43862830406644,104.7387719077719,106.77771755856392,106.47272046891348
