,Gıda ve alkolsüz içecekler,Enerji,Enerji ve gıda dışı mallar,Hizmet
2025-01-31,0.5226446051508722,0.5921003535812599,0.16470481889170363,1.1553293223347567
2025-02-28,0.9597226959743097,0.5537097372478225,1.1778355292452978,0.5966094598143621
2025-03-31,1.4359060920285065,0.008282506767036011,1.3945874866908126,0.610926692360322
2025-04-30,0.5102423586595994,0.4893235435006533,0.6018755144249969,0.7356539137319552
2025-05-31,-0.11089881963524936,0.24676064481488919,0.5498760724566764,0.7031785415661527
2025-06-30,-0.05895415999727839,0.25107729360967135,0.213245258666443,0.89193702659184
2025-07-31,0.19223539541035173,0.7107739547626117,0.5734952563192786,0.8408774928446642
2025-08-31,0.5759718012782226,0.10093626843678957,0.5068325057421272,0.756796507413804
2025-09-30,0.7759564765350015,0.1415389157668686,0.4006809252876365,1.2939012704044313
2025-10-31,1.1431022667745308,0.11547283347962342,1.383095115219313,0.4478008944971477
2025-11-30,0.41064379106519416,0.20605818578928267,0.0669512001693123,0.4523977381659552
2025-12-31,0.4342213084723878,-0.025541296618362876,0.33633031868933766,0.2835841511281475
2026-01-31,1.706927604966338,0.038981169838096234,0.8997425709545891,2.4490226022743293
2026-02-28,1.8147850736359719,0.3114882708852196,0.047644702988577134,1.014184382136378
