Ürün,Eski,Grup
Pirinç,Gıda ve alkolsüz içecekler,Pirinç
Buğday Unu,Gıda ve alkolsüz içecekler,Un ve diğer tahıllar
Bebek Sütü (Toz Karışım),Gıda ve alkolsüz içecekler,Un ve diğer tahıllar
Bulgur,Gıda ve alkolsüz içecekler,Un ve diğer tahıllar
Ekmek,Gıda ve alkolsüz içecekler,Ekmek
Bisküvi,Gıda ve alkolsüz içecekler,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)"
Kraker,Gıda ve alkolsüz içecekler,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)"
Gofret,Gıda ve alkolsüz içecekler,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)"
Pasta,Gıda ve alkolsüz içecekler,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)"
Kek,Gıda ve alkolsüz içecekler,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)"
Baklava,Gıda ve alkolsüz içecekler,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)"
Ekmek Hamuru (Yufka),Gıda ve alkolsüz içecekler,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)"
Makarna,Gıda ve alkolsüz içecekler,Makarna çeşitleri
Şehriye,Gıda ve alkolsüz içecekler,Makarna çeşitleri
Tahıl Gevreği,Gıda ve alkolsüz içecekler,Kahvaltılık tahıl ürünleri
Dana Eti,Gıda ve alkolsüz içecekler,Dana eti
Kuzu Eti,Gıda ve alkolsüz içecekler,Kuzu eti
Tavuk Eti,Gıda ve alkolsüz içecekler,Tavuk eti
Sakatat,Gıda ve alkolsüz içecekler,Diğer etler ve yenilebilir sakatatlar
Sucuk,Gıda ve alkolsüz içecekler,"Şarküteri ürünleri (sucuk, sosis, salam vb.)"
Sosis,Gıda ve alkolsüz içecekler,"Şarküteri ürünleri (sucuk, sosis, salam vb.)"
Salam,Gıda ve alkolsüz içecekler,"Şarküteri ürünleri (sucuk, sosis, salam vb.)"
Hazır Et Yemekleri,Gıda ve alkolsüz içecekler,"Şarküteri ürünleri (sucuk, sosis, salam vb.)"
Balık,Gıda ve alkolsüz içecekler,Taze balık
Konserve Balık,Gıda ve alkolsüz içecekler,Konserve edilmiş veya işlenmiş balık
Süt,Gıda ve alkolsüz içecekler,Süt
