,Grup,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31,2026-02-28,2026-03-31
0,Tahıllar ,6.089030010326124,2.2091446568803352,2.3122881866552536,2.122516966689769,0.7654172751135002,0.37966562701226003,1.6893872827870693,3.5519289248623354,4.890682366975163,2.1072919942070722,1.091753958459818,3.329290533702345,1.3659918280144012,-0.14175479601414853
1,Tahıl unları ,0.4632573871596435,-2.9332025406039297,6.107119365935976,0.2969762663188824,1.1274978692643822,-3.0748355733895227,9.586248512257134,-0.2265535877443936,1.1365610723961694,1.6106657895787135,1.1921258046101002,-0.9742980761460851,4.0521052042252315,-1.0435727452467791
2,Bebek mamaları ,2.9077017465696686,3.309508569505004,6.840396885807265,5.777872487602109,4.005651581581082,1.2347595217669483,3.160625171407716,2.966309453224669,4.2087455548827535,2.2371469204973238,-0.562610892751958,2.029359473664649,2.553266219307737,-1.0309340313098048
3,Ekmek ve unlu mamuller ,9.259090412926408,1.3709929731288373,1.2241979740228448,0.21089010273986908,1.7964195494958313,4.215228232778845,1.829042416713933,3.232324419492283,5.574188272761216,2.146430393825338,0.6318591960329467,3.88792272357803,6.4810967121670116,2.6304889187148017
4,"Makarna, erişte, kuskus ve benzeri makarna ürünleri ",1.6223139690878297,1.1049572084706138,-0.21231623756121643,4.113132262282826,1.3363962633771598,2.27586612295283,1.225631913223424,0.5371935843425879,8.526443637669612,3.873316390073289,6.727364644180578,2.0423717363438953,-1.1673469275029547,-1.1918135193347834
5,Kahvaltılık tahıl ürünleri ,3.020059775529149,4.2463476022319036,3.7527115213881634,4.051682497384723,0.9840393109148415,-1.488619681288772,2.2347506602864664,0.07032551946943855,7.628981303649196,5.515065458451129,-2.5262677826358826,7.415123052411543,0.45079545595274606,-0.24074985694265139
6,"Et, taze, soğutulmuş veya dondurulmuş ",2.7589741794279643,6.013158412531561,4.824466669958616,0.08936650275479519,1.8427353072735908,0.24733578655422583,1.0526524526122794,1.0545091996042588,0.8265908558036994,-0.680615199382717,8.728554380033149,4.73936067390206,4.091746790581108,2.705513716190444
7,"Kesilmiş hayvanların sakatat ve diğer parçaları (taze, soğutulmuş veya dondurulmuş, kurutulmuş, tuzlanmış, salamura edilmiş veya tütsülenmiş) ",2.1860212283471236,-0.5299290292006487,2.271840433381378,2.4754238567115783,-2.080316115031411,-2.288227032276957,-4.447968576419847,2.156323788654335,-0.626996216966802,3.184479742841817,0.9374714681178009,3.245929887197052,4.133913701401681,2.2179459034403437
8,"Et, kurutulmuş, tuzlanmış, salamura edilmiş veya tütsülenmiş ",5.637298386291145,2.191712724381145,1.7684471848465,4.768095728095489,-1.338392691961654,0.7413844585432594,0.8623212853239304,-0.5078435323329522,6.437088542635383,4.600149935295161,2.136490620918341,7.718736397994719,4.085864704538222,-1.1212449299704885
9,"Kesilmiş hayvanların et, sakatat ve diğer parçalarından yemeye hazır hale getirilmiş ürünler",1.3140868276993345,1.8697858792632749,0.23968936733438362,3.2935353592023597,-0.9087601968574943,2.00604145103902,0.1434171797330075,2.551345699849472,2.1127285292303677,2.6693107411814854,2.080945849861271,3.4083416921766085,4.68533285331072,2.377971664462475
10,"Balıklar, canlı, taze, soğutulmuş veya dondurulmuş ",5.675654808719788,-6.917825578269488,6.618120534109195,4.375657611936323,2.7311905079055787,2.287004112810931,1.2859812315255459,19.14080297069063,5.3016284168802,-4.788934605985995,8.463160890392318,8.5151211745081,-4.391260769478644,-6.0128482722451855
11,Konserve edilmiş veya işlenmiş balık ürünleri,1.586707743535154,6.0287887500082515,1.127494988036437,-0.3615803715143806,-0.7005911899151007,1.0459405961733337,8.567088383481035,10.464605290735385,0.949931269594928,0.7095666448944549,-3.909096447452376,3.4533901904630016,3.1229062412849506,3.9188799654823914
12,Çiğ ve tam yağlı süt ,10.92995199111284,2.609796892749494,0.6852476148569764,-0.09408773468283504,-1.1302270328217623,-0.11100793660535624,3.912852357195762,1.3286134296930596,5.676366949950573,2.9642782868218864,1.2717264594740207,3.4810560719603867,11.72427659144828,2.6630934481480018
13,Yoğurt ve benzeri ürünler ,11.8373109465691,1.3649870406266418,-0.025894808296456073,-0.570321393739448,-0.66704379156588,0.9785537538619327,5.0365830912766585,3.959203360385355,3.6209374624069257,1.3051420698082072,0.5274063545892993,2.8767152100873217,10.130152686325179,2.2235665103060187
14,Süt bazlı tatlı ve içecekler ,11.940376418019948,2.9756897918640224,1.220943870333624,0.29822865483259964,0.1589342808445915,3.658100805833775,8.863162416134585,3.4466745150017575,3.3912141818485564,1.6520049914296564,1.6188013486114095,-0.6945668313829811,6.710110468393937,0.6066309245119084
15,Peynir ,6.807099369948211,1.7910627389317035,1.6926429129524356,0.46008984080847526,-0.651543387888398,-0.4392790996764928,1.9905494509109278,1.9057916222168014,4.299141586198485,2.4753686342501746,3.218212664254838,3.4864603677767336,8.137377786615808,4.297368430459181
16,Yumurtalar ,2.9064194102916385,4.302588134849783,8.554157637161385,-8.284224309827659,-3.943708232020282,-0.2015992311898085,1.2587969520716502,14.351408036115254,6.004277811627512,-2.5493713497326764,-0.23891214756396328,0.22809269737269489,-0.11771206518768063,1.3558305857246267
17,Tereyağı ve sütten elde edilen diğer yağlar ,10.309960855160494,2.0552920988287315,2.663471352492097,0.44089544219307886,-0.2726101334516784,-1.4078525297793076,2.7077042493281356,5.745031087055774,4.006652121135623,5.318273302411192,-0.5415683087789724,3.5572665559583383,10.199033556494474,3.9930156609442102
18,Margarin ,-0.7131250895857644,0.12639092818451658,2.5296530548727603,5.038046752623737,0.37679176220244415,4.102602706587266,2.9876147614951387,-0.00023032020526336794,8.990807719588801,5.900343879604231,-3.103447294105355,9.581696983328225,-0.9355420623223254,1.9820549355989314
19,Bitkisel sıvı yağlar ,4.219319588629311,1.1737744714828136,1.650818142728827,2.7377614029205466,0.8482701771499457,2.7936850575836836,2.7210847596081944,7.564193114856743,3.420657222438339,1.8827918479501493,0.4774927131615092,1.3569452165999918,0.9989903402455091,0.7937788167137305
20,"Turunçgiller, taze ",6.604809977192572,18.68587953949783,17.02910101781523,16.988826649692545,7.758106709152512,2.184012702184157,12.339625086368745,-18.09345630866267,-13.206100416999744,18.875736207179685,-19.93443926895192,1.5098608834429372,8.649286422308533,2.4220726111898685
21,"Diğer meyveler, taze ",6.974434776312544,13.571791748812046,9.678497211176328,14.837717681863927,-7.91182008063328,-24.41714690268433,-6.394126037250714,1.3175225714029182,0.23516020206812982,11.238055035209161,-5.003063723728407,3.679545462346323,3.0132304115636277,2.809081558122295
22,"Sert çekirdekli ve yumuşak çekirdekli meyveler, taze ",3.538069260527199,3.2551737488946353,7.3972226629228865,19.119171520941137,2.4990356965821636,-1.776560042716513,6.277329730583725,3.5425471706651113,-2.3064604914920683,6.866518273648303,-0.5211506740096628,4.248305845504863,1.3471123660502071,1.3575132828272607
23,"Üzümsü meyveler, taze ",7.507167244397972,13.914976072861919,-8.088937538000796,6.672779574668852,-10.273476885283761,2.8583077552273295,1.4554122311049467,1.189136497151666,-3.6146617499936085,10.300444946854604,-5.899623847745817,3.191285244651998,3.616537534765918,2.9883670928606443
24,"Hurma, incir ve tropikal meyveler, taze ",10.770776063389498,18.891511511564808,6.320339393047014,2.237129330710119,-7.531271358347736,1.8727596328972362,-3.2120215342163694,8.710765143605649,6.144438272781261,-6.071305003638794,2.4818718135627416,3.341491194052315,-0.37579330207623274,4.631998883135413
25,"Sert kabuklu meyveler, kabuklu veya kabuksuz ",3.132796340519417,1.920398494069353,1.5801147365057222,4.002297051918324,2.075020161179486,0.8605533320220404,1.7948836441465055,4.086321962871953,5.451990600322865,4.332293824480127,0.5300882275521612,1.7232311164748104,2.277768549609016,-3.1605044417485684
26,Kurutulmuş ve dehidre meyveler ,3.4877298529318423,-0.1947507251405134,0.18139752688144384,3.4959424478179457,17.160345800238485,4.702090199850439,2.363803406556242,0.497693266062349,2.183753774527175,-1.7349688515409634,1.7081550116804678,1.8188515693327023,-0.7928662269884867,-4.688804257662094
27,"Meyvesi yenen sebzeler, taze veya soğutulmuş (domates, biber, salatalık, kabak vb.)",-11.43175851234578,22.58961099934915,-12.88240396301077,-24.149410119377624,-8.51007275728357,6.947055305164773,-2.817796297481723,6.5443641498533545,13.81577678985224,-1.5184218718814146,-0.3755616746780932,48.6465285081539,41.74626044748826,-4.30928268198471
28,"Yeşil yapraklı veya saplı sebzeler, taze veya soğutulmuş ",-18.446118291583314,3.8786466345184234,-11.239048596355161,-4.39501298500341,-4.550808263647954,-0.02210943007547872,11.890535430067771,13.405408507074345,25.616956588799987,-12.34786412953608,-7.037016964064424,40.224632906184524,22.204360768054364,7.914922902526589
29,"Yeşil baklagil sebzeleri, taze veya soğutulmuş ",-8.881086403294269,19.494155338869025,-9.40040848178153,-38.44528018581014,-26.792420741477695,0.11369488814783058,1.9730278759058972,5.645770265916017,-6.791888209023977,-5.402277997130145,-0.24800942947811322,38.39528978327395,29.577441306143303,-1.7436374549223643
30,"Diğer sebzeler, taze veya soğutulmuş (soğan, sarımsak, havuç, mantar, zeytin vb.)",-0.9113683800575201,8.35565107358487,0.20140487084789882,-12.085827367416934,-6.119682299601026,0.9479512818344249,4.7941387528455115,3.1577524299647663,13.995232029085546,-3.71267273091912,0.436330038788979,6.2886936048210496,4.198841761096772,1.2980279785482773
31,Yumrulu sebzeler,-0.0022735322195210905,8.670938063905908,7.225168459374598,10.150601095821532,-0.8313645281508575,-11.625669531345595,-12.86822279018417,5.974381627429648,5.556588160972331,2.5637967398400185,9.5020301059485,5.600999356424663,-1.1136357186307788,-0.8410998052590823
