,İşlenmemiş gıda,İşlenmiş gıda,Enerji,Temel mallar,Hizmet,"Alkollü içecekler, tütün ve altın"
2025-01-31,0.306209075426629,0.21643552972424318,0.5921003535812599,0.1184506235026474,1.1553293223347567,0.04625419538905622
2025-02-28,0.042447642764111004,0.9172750532101986,0.5537097372478225,1.1390334977793644,0.5966094598143621,0.03880203146593353
2025-03-31,1.1806781954987902,0.25522789652971634,0.008282506767036011,0.9898950084185405,0.610926692360322,0.4046924782722721
2025-04-30,0.2644999223318958,0.24574243632770365,0.4893235435006533,0.5445639306362376,0.7356539137319552,0.057311583788759266
2025-05-31,-0.2895517050372549,0.17865288540200555,0.24676064481488919,0.5192546638346132,0.7031785415661527,0.030621408622063178
2025-06-30,-0.1599421077859871,0.10098794778870872,0.25107729360967135,0.20151427316580747,0.89193702659184,0.011730985500635541
2025-07-31,-0.08070143116826811,0.27293682657861984,0.7107739547626117,0.3632351675406992,0.8408774928446642,0.21026008877857938
2025-08-31,0.1806369555228533,0.39533484575536926,0.10093626843678957,0.23568214427228154,0.756796507413804,0.2711503614698457
2025-09-30,0.32847371750599724,0.44748275902900436,0.1415389157668686,0.3488093232251238,1.2939012704044313,0.05187160206251269
2025-10-31,0.4708039428487131,0.6722983239258178,0.11547283347962342,1.2221019027372428,0.4478008944971477,0.16099321248207007
2025-11-30,0.06383417526852042,0.34680961579667374,0.20605818578928267,-0.07915021490253119,0.4523977381659552,0.1461014150718435
2025-12-31,0.24102793059844477,0.19319337787394308,-0.025541296618362876,0.32410075042318554,0.2835841511281475,0.012229568266152104
2026-01-31,1.2295573877705135,0.4773702171958265,0.038981169838096234,0.8131977207089685,2.4490226022743293,0.08654485024562064
2026-02-28,1.242459776662504,0.5591452792727247,0.30579195075320476,-0.09325376366893354,1.0658283248619242,0.1074789703288928
