,Ev ve bahçe araç gereçleri,Ev aletleri,Gıda,Kişisel ulaştırma araçlarının işletimi,Ayakkabı,Alkolsüz içecekler,Yemek hizmetleri,Kişisel bakım,Konutun bakım ve onarımı,Başka yerde sınıflandırılmayan mali hizmetler,Ev içi tekstil,Başka yerde sınıflandırılamayan kişisel bakım ürünleri,Giyim,Ulaştırma hizmetleri,"Görsel-işitsel sistemle (audıo-vısual), fotoğrafla ve veri işlemle ile ilgili ekipman",Alkollü içecekler,Araç satın alımı,Ev bakım için mal ve hizmetler,"Züccaciye, yemek takımı ve hanehalkı aletleri",Telefon ve telefaks hizmetleri,"Gazete, kitap ve kırtasiye","Elektrik, gaz ve diğer yakıtlar","Diğer eğlence araçları ve malzemeleri, bahçe ve evcil hayvanlara ilişkin ürünler, hizmetler","Mobilya, mefruşat, halı ve diğer yer döşemeleri",Gerçek kira,Diğer temel dayanıklı eğlence ve kültür araçları,Konaklama hizmetleri,Tütün,Su (Şebeke suyu) ve konutla ilgili çeşitli hizmetler,Telefon ve telefaks ekipmanı,Ayakta tedavi hizmetleri,Orta öğretim,Üniversite eğitimi,Okul öncesi eğitim ve ilköğretim,"Tıbbi ürünler, aletler ve malzemeler"
2024-12-31,100.0,100.0,100.0,100.0,100.0,100.0,99.99999999999997,99.99999999999999,99.99999999999999,100.0,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,100.00000000000001,100.0,100.0,100.0,100.0,100.0,100.00000000000001,100.0,100.00000000000001,100.00000000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-01-01,100.0,100.0,100.34989013110668,100.0,99.99999999999997,100.06652307510733,99.99999999999997,100.0,99.99999999999999,100.0,99.99999999999999,99.99999999999999,99.99999999999999,111.24192338899192,100.00000000000001,114.18229367617282,100.0,100.0,100.0,100.0,100.00000000000001,100.0,100.00000000000001,100.00000000000001,100.0,100.0,100.0,100.0,100.0,100.0,189.83,100.0,100.0,100.0,100.84
2025-01-02,100.0,100.0,100.59879626097151,100.0,99.99999999999997,100.11627035943881,99.99999999999997,100.0,99.99999999999999,100.0,99.99999999999999,99.99999999999999,99.99999999999999,111.24192338899192,100.00000000000001,114.18229367617282,100.0,100.0,100.0,100.0,100.00000000000001,100.0,100.00000000000001,100.00000000000001,100.0,100.0,100.0,100.0,100.0,100.0,189.83,100.0,100.0,100.0,100.84
2025-01-03,100.0,100.0,100.68007364639756,100.0,99.99999999999997,100.12640300153791,99.99999999999997,100.0,99.99999999999999,100.0,99.99999999999999,99.99999999999999,99.99999999999999,111.24192338899192,100.00000000000001,114.18229367617282,100.0,100.0,100.0,100.0,100.00000000000001,100.0,100.00000000000001,100.00000000000001,100.0,100.0,100.0,100.0,100.0,100.0,189.83,100.0,100.0,100.0,100.84
2025-01-04,100.0,100.0,100.6381249410738,100.0,99.99999999999997,100.42248081996752,99.99999999999997,100.0,99.99999999999999,100.0,99.99999999999999,99.99999999999999,99.99999999999999,111.24192338899192,100.00000000000001,114.18229367617282,100.0,100.0,100.0,100.0,100.00000000000001,100.0,100.00000000000001,100.00000000000001,100.0,100.0,100.0,100.0,100.0,100.0,189.83,100.0,100.0,100.0,100.84
2025-01-05,100.0,100.0,100.5841306945631,100.0,99.99999999999997,100.42629552907113,99.99999999999997,100.0,99.99999999999999,100.0,99.99999999999999,99.99999999999999,99.99999999999999,111.24192338899192,100.00000000000001,114.18229367617282,100.0,100.0,100.0,100.0,100.00000000000001,100.0,100.00000000000001,100.00000000000001,100.0,100.0,100.0,100.0,100.0,100.0,189.83,100.0,100.0,100.0,100.84
2025-01-06,100.0,100.0,100.5841306945631,101.72816250895575,99.99999999999997,100.42629552907113,99.99999999999997,100.0,99.99999999999999,100.0,99.99999999999999,99.99999999999999,99.99999999999999,111.24192338899192,100.00000000000001,114.18229367617282,100.1764256863726,104.97703463188108,100.0,100.0,100.00000000000001,100.0,100.00000000000001,100.00000000000001,100.7816400432916,100.0,100.0,100.0,124.5659522287137,100.0,189.83,100.0,100.0,100.0,100.84
2025-01-07,100.00016830068662,100.0156764652143,100.8408649146135,102.20867738770839,100.00141362598883,100.46006955863106,100.19422067817946,99.85450301806198,100.09613088005375,100.0,100.04878283882118,100.52671648873763,100.00627265713388,111.24192338899192,100.00555453180263,114.18229367617282,100.16679047913658,104.98651544087213,100.19146526224596,100.0,100.00429399521369,100.11724839642059,100.00434610731789,100.03103503847095,100.96908228132912,100.00132694105798,100.0,100.0,124.5659522287137,100.0,189.83,100.0,102.11396679579062,100.0,100.84
2025-01-08,100.0003951488207,100.01596095797046,101.32987301129897,102.20867872611385,100.00156295944636,100.45545526043554,100.19516090052637,99.8553405258668,100.10734271974351,100.0,100.0721087625087,100.5268350522694,100.00764820218875,111.24192338899192,100.0056362654887,114.18229367617282,100.1670310234795,100.00973192270095,100.19567624402546,100.0,100.00582943736859,100.11725619095714,100.00454309071901,100.03370982388117,101.16077380166462,100.00135774573226,100.33894414911906,100.0,124.5659522287137,100.0,189.83,100.0,102.10840372527532,100.0,100.84
2025-01-09,100.00063071666523,100.01727886606719,102.57429444934543,102.41967981546144,100.00888124429451,100.48798717236262,100.66037212707185,100.11307893872446,100.0532499735703,100.0,100.03705786687438,100.36867055577065,100.0103203946793,111.24192338899192,100.0070283973464,114.18229367617278,100.32233563182791,104.98632260602947,100.3154563793283,100.0,100.00773850361612,100.71098710643899,101.23999882161712,100.03501128515256,101.14692790448214,100.02421116459598,100.0,100.0,124.5659522287137,100.0,189.83,100.0,101.93563532536469,100.0,100.84
2025-01-10,99.99855556490074,100.015409022861,102.4653720713632,102.42390805494391,100.0221703585255,100.57016758808383,101.35243591384904,100.13074056794451,100.03847542935102,100.0,100.06484821262491,100.34782962412761,100.01196192949907,111.24192338899192,99.99880735881969,114.18229367617278,100.3411683255697,104.98786717357495,100.33466957061854,100.0,100.00778813236948,100.75861802894642,101.2425453211124,100.03256615370455,101.3183830266764,100.02421116459598,100.0,100.0,124.5659522287137,100.0,189.83,100.0,102.24319308323646,100.0,100.84
2025-01-11,99.99919570655157,99.99915413861369,102.44635731457643,102.42392156265457,100.02472814725337,100.64217984375887,101.45018933294105,100.10150898322776,100.04802690450498,100.0,100.068712995178,100.3169555560901,100.00904050892605,112.11276013118169,99.99504337475798,114.18229367617278,100.67069828322624,104.98509839475989,100.32760358129326,100.0,100.0061850597681,100.80198085976991,101.24595556108395,100.03073458872188,101.48015271537012,100.02373092074122,100.0,100.0,124.5659522287137,100.0,189.83,100.0,102.85534353268922,100.0,100.84
2025-01-12,99.99871041160755,99.99967865162935,102.40033644883442,102.44324194666139,100.01560683497027,100.67955322472162,101.44981484875424,100.20173462948223,100.06535088202807,100.0,100.08531831726083,100.33861021511919,100.0088432428148,112.11276013118169,100.00392395563819,114.18229367617278,100.71069269064182,104.99207111678649,100.34577318953247,100.0,100.0072926361333,100.85174240223922,101.24922237542076,100.03021686899758,101.64108203609037,100.02479234476483,100.0,100.0,124.5659522287137,100.0,189.83,100.0,104.11318008086594,100.0,100.84
2025-01-13,100.0022403685567,100.0166154438247,102.58648309419135,102.596739887985,100.01068647461199,100.73436480972441,101.45037598728261,100.22711504003088,100.09489600867359,100.0,100.08825715108145,100.37229880696421,100.00837802717227,112.11276013118169,100.00449582051758,114.18229367617278,100.7178990723568,104.99144577896251,100.32035626618142,100.0,100.00898843815675,100.91019318723713,101.25040369406155,100.02725834105996,101.80158445022956,100.0286912725965,100.0,100.0,124.5659522287137,99.99891416892623,189.83,100.0,104.70344399775864,99.99999999999994,100.84
2025-01-14,100.0367902828946,100.18176232548882,102.51258160254912,102.56786486167647,100.07154815692606,100.74600657947884,101.45037598728261,100.38894129086324,100.27252164418077,100.0,100.16704251241399,100.39906650691513,100.02398935230937,112.11276013118169,100.06537441965897,114.18229367617278,101.41545704015714,104.9852858743439,100.38038579634456,100.0,100.05266711815594,101.01588886777816,101.31807968788502,100.06661001815546,101.95643253591795,100.0160259135084,100.0,100.0,124.5659522287137,100.0029057666078,189.83,100.0,105.43875024229963,100.0,100.84
2025-01-15,100.06513610098624,100.16897291001573,102.52218116130125,103.97257739318476,100.0504281561296,100.83185919446018,101.52402964974378,100.38570304809402,100.32780994234207,100.0,100.28418727031348,100.41922413837253,100.09104569665887,112.11276013118169,100.07208033884606,114.18229367617278,101.54094893679391,106.20105607152118,100.39560176184375,100.0,100.0575800145753,101.02185202142978,101.33627844355031,100.06262826423561,102.10689430676818,100.06218189002882,100.0,100.0,124.5659522287137,99.96913047124893,189.83,100.0,105.83407275436292,100.00000000000009,100.84
2025-01-16,100.25661233374018,100.165557609308,102.45229704727392,105.22377540280719,100.12169640661436,100.85312227484903,101.55684613772722,100.52302861352872,100.51901793139646,100.0,100.54641376008735,100.44488154887861,100.31096099736325,112.11276013118169,100.09489842895908,114.18229367617278,101.62447072961359,106.26502566042906,100.84313506342767,100.0,100.17646423548173,101.01211674095644,101.62541350855639,100.06967512826341,102.24742056261049,100.07396437981646,100.0,100.0,124.5659522287137,100.00029146306049,189.83,100.0,105.54602173636924,100.0,100.84
2025-01-17,100.4010708570819,100.18578504211996,102.50194166440193,105.23031711667377,100.2739732602934,100.89624145075598,101.8407899822706,100.61812672961733,100.64350681140726,100.0,100.6963310017731,100.48170493359648,100.1031495694912,112.11276013118169,99.99908091966547,114.18229367617278,101.64112011268297,106.41191294145108,100.80660058406741,100.0,100.29538184677276,100.9774363481459,101.73420656397866,100.12833727724818,102.38794681845268,100.21934222872646,100.0,100.0,124.5659522287137,99.95625621856162,189.83,100.1957754421095,105.5674525836101,99.99999999999994,100.84
2025-01-18,100.4109567184547,100.1654462492842,102.56586622029228,105.23039059404698,100.20773538321319,100.92147342318728,101.75949114482304,100.71141913120405,100.7767696362092,100.0,101.9673782283894,100.46940676105866,100.0294499080994,115.24827902605426,99.94156785411803,114.18229367617278,101.69034649346062,106.58434050875618,100.72847839434449,100.0,100.37506826873208,101.24954250929399,102.45959799715907,100.22733142653532,102.528473074295,100.22967667525498,100.0,100.0,124.5659522287137,99.86518339805666,189.83,100.58911449642429,107.11288248247632,99.99999999999994,100.84
2025-01-19,100.3633103931302,100.25557497654965,102.58140261255323,105.23007398252773,100.22648245842966,100.92147342318728,101.65215137724395,100.9126539900726,100.74701065338951,100.0,102.2857717542426,100.6053714263624,100.06397711345778,115.24827902605426,99.9162352983867,114.18229367617278,101.65613749247757,106.61398993970829,100.8080648073521,100.00000000000009,100.4060552705726,101.20804051823006,102.55315688590477,100.33325156637376,102.66899933013724,100.27884415196098,100.0,100.0,124.5659522287137,99.91146104989728,189.83,101.34569711805544,107.57270175990638,99.99999999999991,100.84
2025-01-20,100.63243246844655,100.29479109288874,102.67097128627587,105.81796949231634,100.24571281133055,100.93053584317553,102.36627420180716,101.04015457065611,100.89001314431579,100.0,102.49841247488501,100.71475631805804,100.19359359310583,115.24827902605426,99.88498494465502,114.18229367617278,101.56553454462622,106.77853714753081,100.97617031472906,100.00000000000009,100.73597268917233,101.36106598221012,102.89257682958598,100.89141809319253,102.80952558597944,100.44453826986046,100.0,100.0,124.5659522287137,99.90513853309298,189.83,102.77671525677992,107.5365775616661,99.99999999999991,100.84
2025-01-21,101.26678125063096,100.30192401826955,102.59024871049454,105.83555693445365,100.45808538826402,100.95444069491623,102.40038436089812,101.15067898205767,101.13114859900068,100.0,102.78734631921992,100.99372964084944,100.38894582862237,115.24827902605426,100.00783966212592,114.18229367617278,101.38323143687371,107.05421880617052,101.3017987744469,100.00000000000009,100.92053101229014,101.3506616662661,103.18689707309343,101.25760965555324,102.9500518418216,100.54688313195123,100.0,100.0,124.5659522287137,99.71301498320904,189.83,105.43459360663974,108.2356319267445,99.99999999999991,100.84
2025-01-22,101.37242267413959,100.26153886584909,102.73116064317036,105.8351525312961,100.4069747268192,101.24904473505356,103.22967921601061,101.24762117242783,101.22075253473085,100.0,103.13048787068604,101.13105745131341,100.29710416730678,115.24827902605426,99.98474165243829,114.18229367617278,101.37474081501108,107.14860888514231,101.29611539314917,100.00000000000009,100.86089224641466,101.35670124820898,103.28295613430161,101.30761459128854,103.09057809766394,100.56187390611066,100.0,100.0,124.5659522287137,99.76086728882628,189.83,105.43459360663974,109.43047201809615,99.99999999999991,100.84
2025-01-23,101.66165832571009,100.26332027294825,102.82647215800974,105.94091144235986,100.47697298630472,101.26880071768295,103.23271364125651,101.2393902698105,101.35203377095183,100.0,103.42919979178548,101.21738654334729,100.239074465053,115.24827902605426,99.89569962260899,114.18229367617278,101.37495290561601,107.85622907077278,101.41684475424678,100.00000000000009,101.44270042075601,101.35670124820898,103.55602199864168,101.30127679294652,103.23110435350613,100.6235906871516,100.0,100.0,124.5659522287137,99.759674151239,189.83,105.43459360663974,108.95252971685754,99.99999999999991,100.84
2025-01-24,101.66900688779756,100.24704788835722,102.30761779197923,105.96060985269298,100.62034247354346,101.82032143344298,103.19360232808391,101.24099695355834,101.45053448086873,100.0,106.49810399261798,101.46567184085296,100.07943108037126,115.24827902605426,99.81244470660909,114.18229367617278,101.43853720549838,107.92376625098814,101.45658125732818,100.00000000000009,101.47315513083497,101.35743800226176,103.43810639937578,101.37038558218279,103.37163060934816,100.62837884221028,100.0,100.0,124.5659522287137,99.83022479926431,189.83,105.43459360663974,109.53512329563304,99.99999999999991,100.84
2025-01-25,101.78360039868832,100.23236449046311,102.10390018009515,106.33265669902976,100.66850352383247,101.88479274241419,102.98806885594925,101.27060474981513,101.52557397098748,100.0,109.2989362024876,101.50826157675623,100.06245730509717,115.24827902605426,99.7810477095683,114.18229367617278,101.4163615578739,108.048275066136,101.56965135986488,100.00000000000009,101.52527311173253,101.35572788284465,103.52600478213203,101.46713487311392,103.51215686519022,100.70146119947768,100.0,100.0,124.5659522287137,99.81182997647205,189.83,105.43459360663974,110.48255861254616,99.99999999999991,100.84
2025-01-26,101.82942231264605,100.36251548403399,102.44906181532674,106.33256139970801,100.77089530790488,101.88479274241419,103.40684091531878,101.33974955837591,101.52091819062363,100.0,110.64462092922491,101.5973453901564,100.14639895088817,115.24827902605426,99.74269300778303,114.18229367617278,101.47419934157085,108.06861336696781,101.72380287435507,100.00000000000009,102.13645032331516,101.35849008296982,103.60829527861931,101.56526098668884,103.65268312103268,100.74290279716894,100.0,100.0,124.5659522287137,99.82912461468992,189.83,105.43459360663974,110.55143640067732,99.99999999999991,100.84
2025-01-27,101.94286592822775,100.41031452608708,102.54791433789464,106.34379071937825,101.00610920747995,101.90691604827074,103.40831681332772,101.46313158474312,101.66809810116408,100.0,112.51051485118475,101.63593081466809,100.3240455991776,115.24827902605426,99.70919040130381,114.18229367617278,101.49294175760458,108.16846715804607,101.88666163480738,100.00000000000009,102.41307601222321,101.36110358939808,103.79169285973641,101.61998996163004,103.79320937687476,100.7644784449883,100.0,100.0,124.5659522287137,99.87614312432461,189.83,105.43459360663974,110.41616179484082,99.99999999999991,100.84
2025-01-28,102.19157241189698,100.63916676883058,102.69470459874861,106.35755132699875,101.78843485806858,101.9604406879258,103.55810405101526,101.71374740834541,101.90873719927174,100.0,115.64683278642194,101.93289850609051,101.0462781433791,115.24827902605426,99.82541129738497,114.18229367617278,101.5317770311641,108.53558101240522,102.32290067187053,100.00000000000009,102.6632040128415,101.35217715032645,104.14641346084446,101.84571536541294,103.93373563271686,101.15092958415634,100.0,100.0,124.5659522287137,99.76567017360426,189.83,105.43459360663974,111.19460382581694,99.99999999999991,100.84
2025-01-29,102.26688671306927,100.5459133798229,103.17550442731732,105.73217503198651,101.5551696413997,102.38408871373284,103.70054567301563,101.79936072484288,101.91740044630463,100.0,118.89137106555351,102.20097303496682,100.91741204789098,115.24827902605426,99.76672960494278,114.18229367617278,101.54189504826168,107.25386409986714,102.28617367238292,100.00000000000009,102.74924487487617,101.35217715032645,104.35988150484702,101.52755983495786,104.07426188855922,101.03212156987756,100.0,100.0,124.5659522287137,99.62724677828406,189.83,105.43459360663974,110.5276526924,99.99999999999991,100.84
2025-01-30,102.38001458107549,100.53629162463251,103.18704295542884,105.73437756765925,101.60158961229078,102.39027025967383,103.38315601693327,101.8916988538149,101.91281850619517,100.0,119.11795900418764,102.47142395766511,100.92158794048271,115.24827902605426,99.7790738546174,114.18229367617278,101.56916251164624,107.28640902822664,102.3336137977854,100.00000000000009,102.83915074281283,101.35060929475921,104.49672332126931,101.517429743981,104.21478814440148,101.19558699155962,100.0,100.0,124.5659522287137,99.58849455370095,189.83,105.43459360663974,112.69661549190026,99.99999999999991,100.84
2025-01-31,102.54903023024107,100.60895042494572,102.7163042602316,105.01361984322993,101.79231298662454,102.4245191576237,103.65282485777787,101.97080443872161,101.97964675969226,100.0,119.1155105330826,102.69286009774922,100.98918472153755,115.24827902605426,99.76311618488302,114.18229367617278,101.5615378340288,107.43561766184797,102.40224855794037,100.00000000000009,102.87107959020905,101.3029928458975,104.86972695338464,101.53577144179049,104.35531440024346,101.14543346124644,100.0,100.0,124.5659522287137,99.62498532838649,189.83,105.43459360663974,111.73488288303146,99.99999999999991,100.84
2025-02-01,102.74187003348992,100.99245209576861,103.30758758884916,105.05243831872865,102.0788729541841,102.73437403707553,103.4605850344628,102.50266271415207,102.23027346920779,100.0,119.43901148582482,102.95879802312894,101.3048662589314,117.38438126203408,99.94684159623289,114.18229367617278,101.66170984394364,107.7168567385848,102.68381155503045,100.00000000000009,103.21971774583137,105.4872818303769,105.00950439323618,101.66977110213779,104.34465580628344,101.18720690474186,100.0,100.0,124.5659522287137,99.8313467375206,189.83,105.43459360663974,112.46277984161506,99.99999999999991,100.84
2025-02-02,102.97113386308153,101.06394927032763,103.38710022387684,105.05275212666369,102.18303770916697,102.73437403707553,103.73222907635221,102.71264161561507,102.45959144450907,100.0,120.34066504770256,103.10453125224898,101.46413239802058,117.38438126203408,99.96762207793144,114.34938190127184,101.63795990362381,107.95443641882484,102.93966662684889,100.00000000000009,103.40764962882015,105.47705955442643,105.20404070593257,101.78011799569322,104.33399721232333,101.29304252178495,100.0,100.0,124.5659522287137,99.94655910654897,145.62,105.43459360663974,112.78664106523814,99.99999999999991,100.87
2025-02-03,103.17282465095404,101.14284818955745,103.49726519800427,105.05346619852894,102.42015235714058,102.7606538976722,103.73139083325262,102.93881842344615,102.59235543260328,100.0,120.99816120160291,103.36626253822841,101.79049028926157,117.38438126203408,100.03404501411947,114.34938190127184,101.62587462670284,108.15787549401796,103.21067105220123,100.00000000000009,103.63325461698588,105.46235895284335,105.37356774097923,101.99891870192909,104.42594507050444,101.32038906533774,100.0,100.0,124.5659522287137,99.92391150236526,145.62,105.43459360663974,112.49813462372347,99.99999999999991,100.87
2025-02-04,103.46389240538565,101.27064174078535,103.50820722994898,105.07117418087667,102.72086048426945,103.02677328034875,103.65707805731002,103.34052084286607,102.87499548919115,100.0,124.73117476477378,103.95401983477655,102.14606386212155,117.38438126203408,100.24388226171351,114.34938190127184,101.93728619140418,108.45383017956001,103.61818812583596,100.00000000000009,103.96425128686126,105.50611007752856,105.77930442839033,102.28704604044017,104.75908417915166,101.74799612404742,100.0,100.0,127.9232175658022,99.70057799827968,145.62,105.43459360663974,112.83303138808722,99.99999999999991,100.87
2025-02-05,103.65721142421269,101.2869996224558,104.05503885332261,105.07109945251574,102.73476327999612,103.36376360562329,104.18738187952746,103.47908534963636,102.87605997178319,100.0,124.87562509292187,104.47349463229106,102.11367692959308,117.38438126203408,100.30602144149405,114.34938190127184,101.95080622959301,109.19276932576099,103.65504958195459,100.00000000000009,104.03194884431643,105.81666475362391,106.36292797460217,102.45300277064445,105.12726970177778,101.7948336222356,102.12162251670848,100.0,127.9232175658022,99.5426223300738,145.62,105.43459360663974,113.25640529193296,99.99999999999991,100.87
2025-02-06,103.90402763887329,101.31263704721239,104.8042747037299,106.53402280007596,103.17201812172311,103.4461791301039,103.8599070556546,103.65431825587831,102.88044660656419,100.0,125.85365973916409,104.85101335712025,102.09157072093826,117.38438126203408,100.21054816417207,114.34938190127184,101.99658347551429,109.32098118005018,103.79887373131587,100.00000000000009,104.26741416227344,105.8139879150858,106.51656273750272,103.24371499061698,105.22282998591469,102.05779447585374,104.14752737587338,100.0,127.9232175658022,99.45906263918656,145.62,105.43459360663974,113.56219569753516,99.99999999999991,100.87
2025-02-07,103.9014872770578,101.38244971239742,104.48840357172627,106.55618802997661,103.30932697184896,103.30093677611907,104.46073931605747,103.789463251598,102.64466467101994,100.0,128.29942273579678,105.11086088391461,102.19702157912039,117.38438126203408,100.25189550360061,114.34938190127184,101.97095167413997,109.46419585602388,103.92373797991178,100.00000000000009,104.34240464364086,105.81673982194846,106.42809952408756,103.47288840862868,105.2171758766176,102.08862427555898,106.11464337551118,100.0,127.9232175658022,99.26401723611627,145.62,105.43459360663974,114.8842543237095,99.99999999999991,100.87
2025-02-08,104.14476331571375,101.30454552162827,104.39905266342825,106.55647519981473,103.44877398778169,103.49180601687267,104.46073931605747,104.22193098986094,102.64257450174091,100.0,131.60590780025674,105.25085305379808,102.39108967697338,117.38438126203408,100.27489202101209,114.34938190127184,102.01912663523466,109.57279174842047,104.24617902621358,100.00000000000009,105.30985251357441,105.80870917286352,106.450039136301,103.50983359287454,105.34053900620242,102.15900803776768,113.99334705147488,100.0,127.9232175658022,99.48249580652126,145.62,105.43459360663974,114.8028725314213,99.99999999999991,100.87
2025-02-09,104.06708839438147,101.32360201448182,104.41396616083851,106.55722625742614,103.47694438713447,103.49180601687267,104.46101988687624,104.49822632667333,102.6769092356571,100.0,132.57033105946644,105.33204275671811,102.50373822280812,117.38438126203408,100.23330187422982,114.34938190127184,102.04785896231357,109.66147532017874,104.33269652030583,100.00000000000009,105.8032706632695,105.799609599635,107.06310764650534,103.51135194235341,105.34347222026324,104.0692586574452,111.24115907117816,100.0,127.9232175658022,99.52910277623565,145.62,105.43459360663974,115.70794380294085,99.99999999999991,100.87
2025-02-10,104.21201240703382,101.5293491628561,104.43344431228005,106.58966922574562,103.8443368670493,103.50062149837792,104.50479977608481,104.6126122979385,102.71260779083443,100.0,132.8720298629601,105.83263611406106,103.24093065273703,117.38438126203408,100.30106579488861,114.34938190127184,102.02627726013496,109.84179746013226,104.48438621387098,100.00000000000009,106.19274911971365,105.799609599635,107.58371935810379,103.7233257515667,105.48512413433502,104.35073409421209,113.13910334701198,100.0,127.9232175658022,99.54155454294025,145.62,105.43459360663974,115.82301680542903,99.99999999999991,100.87
2025-02-11,104.97274069401792,101.69409175559919,104.71176060456315,106.60812745070622,104.13187896445062,103.64896909661172,104.30728791726398,105.01562776235873,103.25252476081559,100.0,136.8461903171611,108.04551325091371,104.10872842271485,117.38438126203408,100.25170933712339,114.34938190127184,102.04139023741804,110.53966054898225,105.14303420063749,100.00000000000009,106.6138750496308,105.80272732900943,108.58041647073222,104.20037715614136,105.89359707137952,104.89672340453716,115.72653079688595,100.0,127.9232175658022,99.5392603681989,145.62,105.43459360663974,116.18123127109266,99.99999999999991,100.87
2025-02-12,105.33531875664451,101.84661740833302,105.20174282218196,106.87271417403157,104.18578858939325,104.16636064794893,104.54046068035775,105.24084293303464,103.7242865778159,100.0,138.099874166387,108.32035914320556,104.4641177490801,117.38438126203408,100.26764316438256,114.34938190127184,102.0428077984049,110.88427404421381,105.40462252064265,100.00000000000009,106.81865562955802,105.74347470892248,108.72855458538731,104.50388772694708,106.05985671869398,105.06912839343714,121.81076071081796,100.0,127.9232175658022,98.9827578666305,145.62,105.43459360663974,117.96074328071236,99.99999999999991,100.87
2025-02-13,105.49444404637723,102.02509946998097,105.35307889873846,106.88081197049128,104.1434977526363,104.28089454384256,104.56760353163105,105.38940211427767,103.95901494287648,100.0,139.4054879018062,108.4796936094213,104.49176828674462,117.38438126203408,100.18747306634914,114.34938190127184,102.05007039303247,111.12565348975382,105.44627220697149,100.00000000000009,107.03001829395097,105.93208414504929,109.41117351353836,105.92024828704797,106.13884313629636,105.1710682339635,130.55991202975582,100.0,127.9232175658022,98.97515576805796,145.62,105.43459360663974,118.49377590229076,99.99999999999991,100.87
2025-02-14,105.50312402362827,102.02355196236472,105.34775570687273,106.8953554161837,104.1447652401734,104.34926443609919,104.6397546509032,105.3923818550807,103.95199988353971,100.0,139.40483909976027,108.47822029185595,104.49158691142632,117.38438126203408,100.18712828651141,114.34938190127184,102.05143325720918,111.13792096984177,105.4448296599321,100.00000000000009,107.03001829395097,105.93208414504929,109.41061256410804,105.92571477243692,106.13664753584304,105.1710682339635,130.55991202975582,100.0,127.9232175658022,98.97515576805796,145.62,103.07059085431447,118.35233618212956,99.99999999999991,100.87
