,"Alkollü içecekler,tütün ve tütün ürünleri",Bilgi ve iletişim,Eğitim hizmetleri,"Eğlence,spor ve kültür",Gıda ve alkolsüz içecekler,Giyim ve ayakkabı,"Kişisel bakım,sosyal koruma ve çeşitli mal ve hizmetler","Konut,Su,Elektrik,Gaz ve Diğer Yakıtlar",Lokantalar ve konaklama hizmetleri,"Mobilya,mefruşat ve evde kullanılan ekipmanlar ile rutin ev bakım ve onarımı",Sağlık,Sigorta ve finansal hizmetler,Ulaştırma,Web TÜFE
2024-12-31,100.0,100.0,100.0,100.00000000000003,100.00000000000001,100.00000000000003,100.00000000000001,100.0,99.99999999999999,99.99999999999999,100.0,100.0,99.99999999999999,99.99999999999999
2025-01-01,101.13528512740213,100.0,100.0,100.00000000000003,100.33215580504121,100.00000000000003,100.00000000000001,100.0,99.99999999999999,99.99999999999999,143.73144654254457,100.0,100.78563993130311,100.91482518814409
2025-01-02,101.13528512740213,100.0,100.0,100.00000000000003,100.56859771992153,100.00000000000003,100.00000000000001,100.0,99.99999999999999,99.99999999999999,143.73144654254457,100.0,100.78563993130311,100.9814640210731
2025-01-03,101.13528512740213,100.0,100.0,100.00000000000003,100.64542256208499,100.00000000000003,100.00000000000001,100.0,99.99999999999999,99.99999999999999,143.73144654254457,100.0,100.78563993130311,101.0031163487677
2025-01-04,101.13528512740213,100.0,100.0,100.00000000000003,100.6246290068188,100.00000000000003,100.00000000000001,100.0,99.99999999999999,99.99999999999999,143.73144654254457,100.0,100.78563993130311,100.99725588931369
2025-01-05,101.13528512740213,100.0,100.0,100.00000000000003,100.57425269276234,100.00000000000003,100.00000000000001,100.0,99.99999999999999,99.99999999999999,143.73144654254457,100.0,100.78563993130311,100.98305781966226
2025-01-06,101.13528512740213,100.0,100.0,100.00000000000003,100.57425269276234,100.00000000000003,100.00000000000001,103.7714305340148,99.99999999999999,101.16082378832381,143.73144654254457,100.0,101.41254258631236,101.7671706467766
2025-01-07,101.13528512740213,100.00102843667818,100.73499464919497,100.0041066121062,100.81703310754827,100.0052895544903,100.0100173017521,103.90524571653586,100.18172143253575,101.19383161374684,143.73144654254457,100.0,101.55499459805347,101.91236010938704
2025-01-08,101.13528512740213,100.00104356989257,100.7330604527497,100.00485713150093,101.2751481970238,100.00641700649395,100.01068848426219,103.99741778798284,100.20441420022885,100.03579000536304,143.73144654254457,100.0,101.5551255806482,101.96387126872176
2025-01-09,101.13528512740213,100.00130132689429,100.67299146314346,100.6317860061277,102.44372438927853,100.01002921882436,100.1722091837673,104.19338008810595,100.61787328755635,101.20354787322755,143.73144654254457,100.0,101.70427674808623,102.48845856690505
2025-01-10,101.13528512740213,99.99977917924006,100.77992469729088,100.63309413363743,102.34676204399523,100.0140273481521,100.18096337742698,104.29128551497922,101.2653986896819,101.20587979777785,143.73144654254457,100.0,101.71579894340293,102.53837165187514
2025-01-11,101.13528512740213,99.9990822673485,100.99276025636684,100.63410598070504,102.33344414817235,100.01221450766177,100.15135180982048,104.3840190160882,101.35686109996271,101.1989868721128,143.73144654254457,100.0,101.95553541106749,102.59270993954891
2025-01-12,101.13528512740213,100.00072653106423,101.43009121838226,100.63630164565772,102.29264245216703,100.0102116854384,100.23340032733505,104.47885465576344,101.35651071604104,101.20309847561579,143.73144654254457,100.0,101.98318295894258,102.61332472687698
2025-01-13,101.13528512740213,100.00056088852222,101.63531715731037,100.63789609207889,102.47056958599349,100.00884508340485,100.26070280716586,104.57695078671344,101.35703574199701,101.20635463100677,143.73144654254457,100.0,102.03427098043925,102.69194297411322
2025-01-14,101.13528512740213,100.01283087294522,101.8909721450488,100.68964591367751,102.4020217586471,100.03361167930179,100.3912837249117,104.6943156840227,101.35703574199701,101.28197252249107,143.73144654254457,100.0,102.40404190757663,102.76106649240812
2025-01-15,101.13528512740213,100.00562658073555,102.02841987206679,100.70424514382172,102.41639356079878,100.08282775973323,100.3934580374993,104.77050244190143,101.42594935706316,101.56981716529708,143.73144654254457,100.0,102.90388730709931,102.88094675136317
2025-01-16,101.13528512740213,100.01764358613802,101.92826883973167,100.90146993438721,102.3522138292377,100.27266807148042,100.50494955782442,104.84174453732103,101.4566539105795,101.6394341810637,143.73144654254457,100.0,103.33376929489151,102.96029140088979
2025-01-17,101.13528512740213,99.98889118073602,102.01288016063843,101.01717595837566,102.40145005625865,100.13771144345311,100.58656601443772,104.90182456055298,101.72232429477229,101.70663401577899,143.73144654254457,100.0,103.34481738152422,103.0081968737036
