,Grup,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31,2026-02-28,2026-03-31
0,"Alkollü içecekler,tütün ve tütün ürünleri",0.012674131568668479,9.896720188945718,0.0,0.0,0.00015649175282295147,5.200867551566324,6.582792174172347,0.3552117474002525,1.8055448975974997,3.4209716117042266,-0.000949813208728223,2.0012459281190553,2.436366885100716,5.244058343249214
1,Bilgi ve iletişim,-0.8361342067845112,-1.2014710268072548,-1.4408862444029946,0.4152497956288137,-0.06297101169551178,0.3376605103689867,1.5691002118460196,1.7211620340876976,0.20777087447263476,1.0425506204218449,3.030296570985924,3.887340409808715,3.333200979852746,2.6481801163028784
2,Eğitim hizmetleri,7.486045556938659,7.618772514985728,0.01245322969771756,0.012208411620129311,0.13263975057506983,4.432935916221981,-2.6179991508001876e-08,28.268354856311472,0.2213622915953506,0.0,0.0,5.539769312308107,4.719231377876532,3.432706944769448
3,"Eğlence,spor ve kültür",6.110116358529849,2.533037367435509,0.9187269871113957,0.7780116381163271,0.14875595365373417,1.4035253264369718,1.1321291321592097,1.5202305094382806,1.055810251663547,-0.4975200369983446,1.769709840091216,5.354778464574861,1.553189720356829,0.6311117279805267
4,Gıda ve alkolsüz içecekler,3.4246050585065246,5.117009754623392,1.7894640449029442,-0.391024212624147,-0.21158412847869235,0.7003576171809689,2.1320928314661147,2.8669950563534607,4.213054655690307,1.4971642380656291,1.577492939263303,6.620230195004884,6.9378399853754935,1.7944628267558604
5,Giyim ve ayakkabı,4.505287118599854,6.530753742352191,1.0903102206593518,-0.028030000130363497,0.4490710655536301,0.6009910459221723,-3.7150385470823166,1.3953283081803214,12.27968092932825,-1.0046529873160792,0.5694524200955176,2.3095985458967405,-5.983276347668831,1.425295207499866
6,"Kişisel bakım,sosyal koruma ve çeşitli mal ve hizmetler",5.412631262161138,5.016688300991157,2.8842729165936776,1.3932588889272068,1.5785085730965376,0.9761313732065346,1.4946288726729318,3.1101316517806454,3.578357154091294,0.04838512220335378,1.7493656625809262,4.601817872268166,3.181865910738635,2.119137555273498
7,"Konut,Su,Elektrik,Gaz ve Diğer Yakıtlar",5.072060956600999,2.381846393649445,5.0891614739092095,3.4972571459991997,3.0474077102262243,5.375390730829088,2.1439500603854134,2.676498857605192,2.175954323850182,1.9190190077100322,1.5134910847241168,5.20144513538725,3.1124936017565608,1.331706752578543
8,Lokantalar ve konaklama hizmetleri,3.56121992134093,1.0735711278160753,4.2011518540101545,4.671679792287886,3.682922295320723,2.3852012235469067,4.003915400198199,1.4754637643574098,0.8478245393337414,0.5300216404714231,0.9869408865569307,4.960798202677319,2.1090150488356496,1.2725748260116299
9,"Mobilya,mefruşat ve evde kullanılan ekipmanlar ile rutin ev bakım ve onarımı",5.9400166513232655,3.4823352267358443,0.8780426015428944,1.5870862594105084,0.4547727336364771,1.3578178553655285,1.3370990723199139,0.8462731363187315,1.3087518629953498,-0.03111058468721062,1.347581372640927,4.020120733505661,1.7656626623576699,0.7358991917821966
10,Sağlık,-14.197044536458826,-0.7698007016458064,0.0,0.0,-0.002934698407464076,0.011364463484775378,-0.010233366676004607,0.10268540477686994,0.05732959228281764,-0.0064720192504919005,3.0610613420470667,8.715113699490784,0.5856871294436461,1.1711567653051924
11,Sigorta ve finansal hizmetler,-0.00822355468580449,-0.02467269302983688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.720753573530546,15.18285263751471,5.390915594376611
12,Ulaştırma,2.037340796662912,0.14997224847799195,3.262074152963157,2.3351980495140756,2.835403224373567,3.337341762190227,3.006508743264047,1.278678604389194,1.9029830292982108,1.847048636085158,-1.174784593540723,4.6468806977386645,3.503377573919675,0.7533937226116727
13,Web TÜFE,3.287877351360202,3.4497028244895533,2.3370952866494266,1.3889164238195084,1.3039256907690921,2.310695556975828,1.9405371258279347,2.612077671271562,3.0894711288311116,1.1360509119260787,1.028594559092344,5.0946739699576415,3.1881024391044566,1.523344453058506
